School,City,State,Zip,Lat,Lon,Region,Locale,2yr/4yr,Online only?,School size (students),Pubic or Private
Strayer University-Maryland,Suitland,MD,20746,38.827438,-76.918039,2,21.0,1,0.0,2557.0,3
Talmudical Yeshiva of Philadelphia,Philadelphia,PA,19131,39.989249,-75.247964,2,11.0,1,0.0,123.0,2
Christian Life College,Mount Prospect,IL,60056-2522,42.074096,-87.930934,3,21.0,1,0.0,0.0,2
Texas Health and Science University,Austin,TX,78704,30.233143,-97.785289,6,11.0,1,0.0,4.0,3
American University of Health Sciences,Signal Hill,CA,90755-3612,33.796849,-118.171366,8,21.0,1,0.0,293.0,3
Lincoln Technical Institute-Lincoln,Lincoln,RI,02865,41.9385,-71.47748,1,21.0,3,0.0,607.0,3
Carolinas College of Health Sciences,Charlotte,NC,28203-2861,35.200295,-80.838535,5,11.0,1,0.0,466.0,1
Diesel Driving Academy-Shreveport,Shreveport,LA,71109,32.47617,-93.794921,5,12.0,3,0.0,212.0,3
Trinity College of Nursing & Health Sciences,Rock Island,IL,61201-5317,41.484924,-90.568862,3,13.0,1,0.0,209.0,2
Boston Graduate School of Psychoanalysis Inc,Brookline,MA,02446,42.33912,-71.133151,1,21.0,1,0.0,,2
Saint Elizabeth College of Nursing,Utica,NY,13501,43.082768,-75.267857,2,13.0,2,0.0,197.0,2
Oklahoma State University-Oklahoma City,Oklahoma City,OK,73107-6195,35.474969,-97.581959,6,11.0,1,0.0,5058.0,1
University of Tulsa,Tulsa,OK,74104-3189,36.152324,-95.945941,6,11.0,1,0.0,3246.0,2
Virgil's Beauty College,Muskogee,OK,74401-6802,35.75113,-95.380222,6,32.0,3,0.0,17.0,3
East Central University,Ada,OK,74820-6999,34.771934,-96.663849,6,33.0,1,0.0,2725.0,1
Paul Mitchell the School-Portland,Portland,OR,97205,45.52213,-122.677741,8,11.0,2,0.0,165.0,3
Oklahoma State University Institute of Technology,Okmulgee,OK,74447-3901,35.626934,-95.940373,6,32.0,1,0.0,2195.0,1
Bacone College,Muskogee,OK,74403-1597,35.777082,-95.334046,6,32.0,1,0.0,271.0,2
Spartan College of Aeronautics and Technology,Tulsa,OK,74115,36.176642,-95.878902,6,11.0,1,0.0,979.0,3
Oklahoma Christian University,Edmond,OK,73013,35.611412,-97.469526,6,11.0,1,0.0,1813.0,2
Treasure Valley Community College,Ontario,OR,97914,44.020811,-116.974487,8,32.0,2,0.0,1350.0,1
Linn-Benton Community College,Albany,OR,97321,44.587663,-123.11403,8,13.0,2,0.0,5516.0,1
The  Beauty Institute,Allentown,PA,18109-1629,40.625855,-75.42678,2,12.0,3,0.0,31.0,3
Clarks Summit University,South Abington Township,PA,18411-1250,41.495062,-75.685472,2,21.0,1,0.0,531.0,2
Gratz College,Melrose Park,PA,19027-3010,40.067206,-75.133915,2,21.0,1,0.0,73.0,2
Empire Beauty School-Shamokin Dam,Shamokin Dam,PA,17876,40.854559,-76.815891,2,32.0,3,0.0,57.0,3
Central Penn College,Summerdale,PA,17093-0309,40.3049,-76.934461,2,21.0,1,0.0,1020.0,3
Ursinus College,Collegeville,PA,19426-1000,40.193023,-75.456505,2,21.0,1,0.0,1406.0,2
Villanova University,Villanova,PA,19085-1699,40.039388,-75.345457,2,21.0,1,0.0,6819.0,2
Rosemont College,Rosemont,PA,19010-1699,40.033417,-75.32925,2,21.0,1,0.0,544.0,2
Washington & Jefferson College,Washington,PA,15301,40.170622,-80.24049,2,21.0,1,0.0,1336.0,2
Waynesburg University,Waynesburg,PA,15370-1257,39.899871,-80.186205,2,32.0,1,0.0,1322.0,2
University of Pittsburgh-Johnstown,Johnstown,PA,15904,40.265957,-78.834163,2,23.0,1,0.0,2598.0,1
West Chester University of Pennsylvania,West Chester,PA,19383,39.953398,-75.59812,2,21.0,1,0.0,14249.0,1
