School,State,Online only?,School size (students),2yr/4yr,Pubic or Private,Tuition (in state),Tuition (out of state),Earnings after 10 years - mean,Earnings after 10 years - median,Earnings after 10 years - std,Earnings after 10 years - mean - female,Earnings after 10 years - mean - male,Earnings after 6 years - mean,Earnings after 6 years - median,Earnings after 6 years - std,Earnings after 6 years - mean - female,Earnings after 6 years - mean - male
Denver College of Nursing,CO,0.0,845.0,1,3,,,,,,,,,,,,
Taft University System,CO,1.0,3.0,1,3,,,,,,,,,,,,
Paul Mitchell the School-Atlanta,GA,0.0,212.0,3,3,,,,,,,,,,,,
University of Aesthetics & Cosmetology,IL,0.0,33.0,3,3,,,,,,,,,,,,
Borner's Barber College,CA,0.0,28.0,3,3,,,,,,,,,,,,
Tricoci University of Beauty Culture-Glendale Heights,IL,0.0,71.0,3,3,,,,,,,,,,,,
Tricoci University of Beauty Culture-Peoria,IL,0.0,156.0,3,3,,,,,,,,,,,,
Omega Studios' School of Applied Recording Arts & Sciences,MD,0.0,107.0,3,3,,,,,,,,,,,,
MediaTech Institute-Dallas,TX,0.0,221.0,2,3,,,,,,,,,,,,
Center for Massage,NC,0.0,44.0,3,3,,,,,,,,,,,,
International Cosmetology Academy,MI,0.0,28.0,3,3,,,,,,,,,,,,
Academy of Hair Design-Oklahoma City,OK,0.0,38.0,3,3,,,,,,,,,,,,
Liberty Junior College,PR,0.0,116.0,2,3,,,,,,,,,,,,
Paul Mitchell the School-Springfield,MO,0.0,168.0,3,3,,,,,,,,,,,,
Urshan Graduate School of Theology,MO,0.0,,1,2,,,,,,,,,,,,
Pacific Northwest University of Health Sciences,WA,0.0,,1,2,,,,,,,,,,,,
Fortis Institute-Pensacola,FL,0.0,572.0,2,3,14169.0,14169.0,,,,,,17200.0,16300.0,11200.0,,
Pontifical John Paul II Institute for Studies on Marriage and Family,DC,0.0,,1,2,,,,,,,,,,,,
Career School of NY,NY,0.0,43.0,3,2,,,,,,,,,,,,
John Paolo's Xtreme Beauty Institute-Goldwell Product Artistry,NY,0.0,17.0,3,3,,,,,,,,,,,,
Woodruff Medical Training and Testing,GA,0.0,87.0,3,3,,,,,,,,,,,,
Oliver Finley Academy of Cosmetology,ID,0.0,250.0,2,3,,,,,,,,,,,,
Empire Beauty School-Lauderhill,FL,0.0,83.0,3,3,,,,,,,,18800.0,16100.0,12400.0,,
Tricoci University of Beauty Culture-Libertyville,IL,0.0,140.0,3,3,,,,,,,,,,,,
MediaTech Institute-Houston,TX,0.0,116.0,2,3,,,,,,,,,,,,
Fortis College-Phoenix,AZ,0.0,54.0,2,3,,,,,,,,32400.0,30100.0,21000.0,34200.0,29400.0
Northeast Technology Center-Claremore,OK,0.0,97.0,3,1,,,,,,,,27000.0,25300.0,17700.0,24400.0,32200.0
University of Minnesota-Rochester,MN,0.0,519.0,1,1,13352.0,13352.0,,,,,,43700.0,38900.0,31600.0,40200.0,47900.0
Career Academy of Hair Design-Rogers,AR,,,3,3,,,,,,,,,,,,
Homestead Schools,CA,0.0,197.0,1,2,,,,,,,,,,,,
Chamberlain University-Florida,FL,0.0,946.0,1,3,19375.0,19375.0,,,,,,65000.0,61300.0,34100.0,63600.0,79600.0
Polytechnic University of Puerto Rico-Orlando,FL,0.0,165.0,1,2,12030.0,12030.0,,,,,,25100.0,20800.0,20300.0,25200.0,25100.0
Ross Medical Education Center-Fort Wayne,IN,0.0,118.0,2,3,,,,,,,,20500.0,21900.0,12200.0,,
Culinary Institute of America San Antonio,TX,,,2,2,32040.0,,,,,,,35800.0,33800.0,22700.0,32000.0,38200.0
Cleveland Institute of Medical Massage,OH,,,3,3,17120.0,,,,,,,22600.0,21100.0,17000.0,,
Alaska Christian College,AK,0.0,78.0,2,2,8014.0,8014.0,,,,,,,,,,
University of South Florida-St Petersburg,FL,0.0,4073.0,1,1,5821.0,16736.0,,,,,,35200.0,33300.0,23300.0,33700.0,37600.0
Laurus College,CA,0.0,926.0,1,3,,,,,,,,,,,,
Auguste Escoffier School of Culinary Arts-Boulder,CO,0.0,2289.0,2,3,,,,,,,,,,,,
Aspen University,CO,0.0,3389.0,1,3,3920.0,3920.0,,,,,,,,,,
Columbia College,VA,0.0,355.0,2,3,,,,,,,,,,,,
The Chicago School of Professional Psychology at Irvine,CA,0.0,,1,2,,,,,,,,,,,,
Providence Christian College,CA,0.0,171.0,1,2,30370.0,30370.0,,,,,,,,,,
Fortis College-Dothan,AL,0.0,180.0,3,3,,,,,,,,17500.0,17400.0,10100.0,,
Jersey College,NJ,0.0,3179.0,2,3,,,,,,,,,,,,
Paul Mitchell the School-Memphis,TN,0.0,220.0,3,3,,,,,,,,,,,,
Computer Career Center-Las Cruces,NM,,,2,3,15680.0,,,,,,,20800.0,17900.0,16200.0,20100.0,23300.0
Harrisburg Area Community College-Lebanon,PA,,,2,1,6683.0,9435.0,,,,,,29100.0,26800.0,18200.0,27700.0,31700.0
Hazelden Betty Ford Graduate School of Addiction Studies,MN,0.0,,1,2,,,,,,,,,,,,
Hondros College of Nursing,OH,0.0,2109.0,1,3,18270.0,18270.0,,,,,,,,,,
Tricoci University of Beauty Culture-Indianapolis,IN,0.0,217.0,3,3,,,,,,,,,,,,
Georgia Gwinnett College,GA,0.0,11676.0,1,1,5634.0,16348.0,,,,,,,,,,
Columbia Southern University,AL,1.0,15159.0,1,3,5535.0,5535.0,,,,,,64500.0,62300.0,32500.0,,
Healthcare Career College,CA,0.0,334.0,2,3,,,,,,,,,,,,
Trident University International,CA,1.0,3971.0,1,3,9240.0,9240.0,,,,,,51300.0,43900.0,32500.0,,
Eagle Rock College,CA,0.0,38.0,2,3,,,,,,,,,,,,
The Hair Academy,ND,0.0,55.0,2,3,,,,,,,,,,,,
Bryant & Stratton College-Wauwatosa,WI,0.0,797.0,1,3,18011.0,18011.0,,,,,,23000.0,20500.0,20600.0,22500.0,24500.0
Charleston School of Law,SC,0.0,,1,3,,,,,,,,,,,,
The Art Institute of Austin,TX,0.0,527.0,1,3,17568.0,17568.0,,,,,,29700.0,26400.0,22800.0,27500.0,32000.0
Escuela De Troqueleria Y Herramentaje,PR,0.0,103.0,2,1,1040.0,1040.0,,,,,,17800.0,16200.0,14400.0,14400.0,19400.0
Southwest University at El Paso,TX,0.0,1481.0,1,3,15500.0,15500.0,,,,,,,,,,
Remington College-Shreveport Campus,LA,0.0,301.0,1,2,15786.0,15786.0,,,,,,18500.0,17100.0,12200.0,17500.0,24700.0
Corinth Academy of Cosmetology,MS,0.0,114.0,2,3,,,,,,,,,,,,
Dixie Technical College,UT,0.0,689.0,3,1,,,,,,,,,,,,
Yeshivas Be'er Yitzchok,NJ,0.0,61.0,1,2,10900.0,10900.0,,,,,,,,,,
Pinnacle Career Institute-North Kansas City,MO,0.0,0.0,2,3,,,,,,,,23500.0,19100.0,19700.0,21100.0,27000.0
Fortis College-Landover,MD,0.0,541.0,2,3,14911.0,14911.0,,,,,,24100.0,21900.0,16200.0,21800.0,28200.0
Victoria's Academy of Cosmetology,WA,0.0,75.0,3,3,,,,,,,,,,,,
The Ohio Media School-Columbus,OH,0.0,182.0,3,3,,,,,,,,24700.0,24000.0,14900.0,24700.0,24700.0
Milan Institute of Cosmetology-Visalia,CA,0.0,184.0,3,3,,,,,,,,16600.0,14700.0,12200.0,,
Institute of Production and Recording,MN,0.0,193.0,1,3,19776.0,19776.0,,,,,,,,,,
Phoenix Seminary,AZ,0.0,,1,2,,,,,,,,,,,,
Montessori Casa International,CO,0.0,9.0,3,2,,,,,,,,,,,,
Academy for Five Element Acupuncture,FL,0.0,,1,2,,,,,,,,,,,,
Miami Regional University,FL,0.0,346.0,1,3,,,,,,,,19800.0,18000.0,12000.0,,
Aveda Institute-South Florida,FL,0.0,379.0,3,3,,,,,,,,,,,,
Center for Allied Health Education,NY,0.0,434.0,2,3,,,,,,,,,,,,
Monroe 2 Orleans BOCES-Center for Workforce Development,NY,0.0,77.0,3,1,,,,,,,,,,,,
Elite College of Cosmetology,TN,0.0,70.0,3,3,,,,,,,,,,,,
Chamberlain University-Ohio,OH,0.0,557.0,1,3,19375.0,19375.0,,,,,,65000.0,61300.0,34100.0,63600.0,79600.0
Milan Institute of Cosmetology-Fairfield,CA,0.0,63.0,3,3,,,,,,,,16600.0,14700.0,12200.0,,
Career Quest Learning Centers-Jackson,MI,0.0,111.0,2,3,,,,,,,,20300.0,18900.0,14800.0,,
Coffeyville Technical Campus,KS,,,3,1,2304.0,3872.0,,,,,,27100.0,22300.0,45500.0,21600.0,30400.0
Palm Beach Academy of Health & Beauty,FL,0.0,71.0,3,3,,,,,,,,,,,,
CCI Training Center-Arlington,TX,0.0,217.0,3,3,,,,,,,,25600.0,22700.0,18100.0,,
Pensacola School of Massage Therapy & Health Careers,FL,0.0,25.0,3,3,,,,,,,,,,,,
Coachella Valley Beauty College,CA,0.0,60.0,3,3,,,,,,,,,,,,
Empire Beauty School-Richmond,VA,0.0,59.0,3,3,,,19500.0,17300.0,14600.0,,,18100.0,16400.0,12800.0,,
Carrington College-Stockton,CA,0.0,367.0,2,3,,,33300.0,32800.0,21700.0,32800.0,41600.0,27600.0,24100.0,22000.0,27100.0,31100.0
Euphoria Institute of Beauty Arts & Sciences-Summerlin,NV,0.0,429.0,2,3,,,34900.0,37600.0,21700.0,,,22800.0,20900.0,16200.0,21500.0,26800.0
National American University-Bellevue,NE,0.0,68.0,1,3,15000.0,15000.0,,,,,,31300.0,27100.0,23300.0,28200.0,40500.0
Hinton Barber and Beauty College,CA,0.0,43.0,3,3,,,,,,,,,,,,
Advanced Career Institute,CA,0.0,464.0,3,3,,,,,,,,,,,,
Bellus Academy,KS,0.0,171.0,3,3,,,,,,,,25900.0,22100.0,19600.0,,
Ross Medical Education Center-Dayton,OH,0.0,85.0,3,3,,,,,,,,23900.0,24800.0,11800.0,,
Cortiva Institute-Seattle,WA,0.0,108.0,3,3,,,,,,,,25500.0,24800.0,16600.0,,
Florida Institute of Technology-Online,FL,1.0,1460.0,1,2,,,,,,,,43200.0,38200.0,28900.0,38700.0,45600.0
Ivy Tech Community College-Northcentral,IN,,,2,1,4368.0,8402.0,,,,,,27500.0,25400.0,18200.0,26300.0,29700.0
Ivy Tech Community College-Kokomo,IN,,,2,1,4368.0,8402.0,,,,,,27500.0,25400.0,18200.0,26300.0,29700.0
The University of Montana - Missoula College,MT,,,2,1,3886.0,13735.0,,,,,,31700.0,26600.0,25500.0,29000.0,34900.0
Austin Kade Academy,ID,0.0,102.0,2,3,,,,,,,,,,,,
Ivy Tech Community College-South Central,IN,,,2,1,4368.0,8402.0,,,,,,27500.0,25400.0,18200.0,26300.0,29700.0
Ivy Tech Community College-Northwest,IN,,,2,1,4368.0,8402.0,,,,,,27500.0,25400.0,18200.0,26300.0,29700.0
Ivy Tech Community College-Central Indiana,IN,,,2,1,4368.0,8402.0,,,,,,27500.0,25400.0,18200.0,26300.0,29700.0
SAE Institute of Technology San Francisco,CA,,,3,3,,,,,,,,,,,,
KC's School of Hair Design,MS,0.0,39.0,3,3,,,,,,,,,,,,
American College of Healthcare Sciences,OR,1.0,464.0,1,3,10800.0,10800.0,,,,,,,,,,
Universal Technical Institute-Dallas Fort Worth,TX,0.0,1266.0,2,3,,,,,,,,37400.0,35200.0,22600.0,29700.0,37500.0
Panache Academy of Beauty,WI,0.0,59.0,3,3,,,,,,,,,,,,
Cortiva Institute-Dallas,TX,0.0,210.0,3,3,,,,,,,,21900.0,19600.0,16800.0,20600.0,25900.0
Athena Career Academy,OH,0.0,283.0,2,3,,,,,,,,,,,,
Paul Mitchell the School-Arlington,TX,0.0,328.0,3,3,,,,,,,,27400.0,22000.0,20100.0,,
Carrington College-Mesquite,TX,0.0,40.0,2,3,,,,,,,,25700.0,23500.0,18400.0,25000.0,32200.0
Rio Grande Valley College,TX,0.0,626.0,3,3,,,,,,,,,,,,
Diamond Beauty College,CA,0.0,190.0,3,3,,,,,,,,,,,,
Vogue College of Cosmetology-San Antonio Fredericksburg,TX,0.0,150.0,3,3,,,,,,,,,,,,
Unitek College,CA,0.0,175.0,3,3,,,,,,,,,,,,
Vogue College of Cosmetology,TX,0.0,100.0,3,3,,,,,,,,,,,,
College of International Esthetics Inc,CO,0.0,119.0,3,3,,,,,,,,,,,,
New Dimensions Beauty Academy Inc,CO,0.0,69.0,2,3,,,,,,,,,,,,
Empire Beauty School-Virginia Beach,VA,0.0,115.0,3,3,,,,,,,,23100.0,19200.0,18200.0,,
Barber & Beauty Institute of New York,NY,0.0,58.0,3,3,,,,,,,,,,,,
Boise Barber College,ID,0.0,66.0,2,3,,,,,,,,,,,,
Salon Institute-Toledo Campus,OH,0.0,97.0,2,3,,,,,,,,,,,,
Reflections Academy of Beauty,IL,0.0,26.0,3,3,,,,,,,,,,,,
Wade Gordon Hairdressing Academy,TX,0.0,86.0,3,3,,,,,,,,,,,,
South University-Austin,TX,0.0,302.0,1,3,17014.0,17014.0,,,,,,37100.0,31300.0,28200.0,35000.0,44100.0
SAE Institute of Technology-Miami,FL,0.0,111.0,3,3,,,,,,,,,,,,
Medspa Academies,UT,0.0,210.0,3,3,,,,,,,,,,,,
West Coast University-Dallas,TX,0.0,792.0,1,3,26635.0,26635.0,,,,,,82200.0,83200.0,32300.0,80400.0,90400.0
Stevens-Henager College,UT,0.0,93.0,1,2,16972.0,16972.0,,,,,,29500.0,24900.0,23600.0,25400.0,35400.0
Pennsylvania State University-World Campus,PA,1.0,8102.0,1,1,13988.0,13988.0,,,,,,40900.0,37500.0,27100.0,36700.0,44300.0
Mercyhurst University-North East Campus,PA,0.0,595.0,2,2,19120.0,19120.0,,,,,,33400.0,30500.0,20400.0,31600.0,36000.0
Elevate Salon Institute-Westminster,CO,0.0,67.0,3,3,,,,,,,,,,,,
Empire Beauty School-Glen Burnie,MD,0.0,100.0,3,3,,,,,,,,20300.0,18000.0,13900.0,,
Empire Beauty School-West Greensboro,NC,0.0,79.0,3,3,,,,,,,,20600.0,17100.0,15700.0,,
Beauty Academy of South Florida,FL,0.0,213.0,3,3,,,,,,,,,,,,
National Paralegal College,AZ,1.0,700.0,1,3,7995.0,7995.0,,,,,,,,,,
Millennia Atlantic University,FL,0.0,105.0,1,3,11156.0,11156.0,,,,,,,,,,
Bergin University of Canine Studies,CA,0.0,24.0,1,2,,,,,,,,,,,,
Pima Medical Institute-Aurora,CO,0.0,230.0,2,3,,,,,,,,,,,,
Taylor Andrews Academy-St George,UT,0.0,122.0,3,3,,,,,,,,,,,,
Elite School of Cosmetology,OH,0.0,77.0,2,3,,,,,,,,,,,,
State Career College,IL,0.0,130.0,3,3,,,,,,,,,,,,
Cinta Aveda Institute,CA,0.0,216.0,2,3,,,,,,,,,,,,
Mauna Loa Helicopters,HI,0.0,14.0,3,3,,,,,,,,,,,,
Southern California Health Institute,CA,0.0,313.0,3,3,,,,,,,,,,,,
Holistic Massage Training Institute,MD,0.0,17.0,3,3,,,,,,,,,,,,
Vanguard College of Cosmetology-Metairie,LA,0.0,138.0,3,3,,,,,,,,17000.0,14700.0,11000.0,,
New England Tractor Trailer Training School of Massachusetts,MA,0.0,455.0,3,3,,,,,,,,33300.0,31500.0,20800.0,,
Cortiva Institute-Tempe,AZ,0.0,190.0,3,3,,,,,,,,21900.0,19600.0,16800.0,20600.0,25900.0
National American University-Colorado Springs South,CO,0.0,146.0,1,3,15000.0,15000.0,,,,,,31300.0,27100.0,23300.0,28200.0,40500.0
Cortiva Institute-Aurora,CO,0.0,92.0,3,3,,,,,,,,21900.0,19600.0,16800.0,20600.0,25900.0
Paul Mitchell the School-Columbia,SC,0.0,228.0,3,3,,,,,,,,,,,,
J Renee College,IL,0.0,44.0,3,3,,,,,,,,,,,,
Chamberlain University-Texas,TX,0.0,823.0,1,3,19375.0,19375.0,,,,,,65000.0,61300.0,34100.0,63600.0,79600.0
Dewey University-Manati,PR,0.0,184.0,1,2,7495.0,7495.0,,,,,,17400.0,14200.0,19200.0,14900.0,19900.0
International College of Beauty Arts & Sciences,CA,0.0,64.0,3,3,,,,,,,,,,,,
Kenneth Shuler School of Cosmetology-Greenville,SC,0.0,161.0,3,3,,,,,,,,,,,,
Cortiva Institute-York,PA,0.0,65.0,3,3,,,,,,,,26900.0,24200.0,19300.0,26100.0,31200.0
Allen School-Phoenix,AZ,0.0,41.0,3,3,,,,,,,,23400.0,21300.0,15400.0,23200.0,24700.0
Oklahoma Technical College,OK,0.0,132.0,3,2,,,,,,,,19500.0,18500.0,14500.0,18500.0,28100.0
Northwest College-Eugene,OR,0.0,207.0,2,3,,,,,,,,18200.0,16800.0,11800.0,,
Unitech Training Academy-Lake Charles,LA,0.0,71.0,3,3,,,,,,,,18000.0,16100.0,12200.0,17400.0,26500.0
CET-Soledad,CA,0.0,84.0,3,2,,,,,,,,22100.0,17500.0,19100.0,17900.0,25900.0
Manuel and Theresa's School of Hair Design-Victoria,TX,0.0,18.0,3,3,,,,,,,,,,,,
Platt College-Miller-Motte Technical-Macon,GA,0.0,424.0,2,3,,,,,,,,21900.0,21100.0,15100.0,20000.0,27300.0
Tricoci University of Beauty Culture-Chicago NE,IL,0.0,85.0,3,3,,,,,,,,,,,,
Fortis College-Montgomery,AL,0.0,106.0,2,3,14628.0,14628.0,,,,,,17200.0,16300.0,11200.0,,
Whitworth University-Adult Degree Programs,WA,0.0,294.0,1,2,,,,,,,,34900.0,31900.0,23200.0,32000.0,39400.0
Los Angeles Pacific University,CA,1.0,1873.0,1,2,10200.0,10200.0,,,,,,43600.0,37400.0,31800.0,42300.0,45800.0
Springfield College-Regional Online and Continuing Education,MA,0.0,643.0,1,2,,,,,,,,38800.0,36400.0,23200.0,38300.0,39500.0
CollegeAmerica-Phoenix,AZ,0.0,488.0,1,2,16972.0,16972.0,,,,,,18900.0,17200.0,14000.0,17800.0,22700.0
Porter and Chester Institute of Canton,MA,,,3,3,17220.0,,,,,,,32000.0,30800.0,20500.0,25100.0,34000.0
Stevens-Henager College,ID,0.0,85.0,1,2,16972.0,16972.0,,,,,,18900.0,17200.0,14000.0,17800.0,22700.0
City College Montana State University Billings,MT,,,2,1,3843.0,8869.0,,,,,,33400.0,29600.0,27000.0,28400.0,40900.0
PJ's College of Cosmetology- Brownsburg,IN,,,3,3,,,,,,,,15000.0,13800.0,10700.0,,
Astrodome Career Centers,TX,0.0,133.0,3,3,,,,,,,,,,,,
Cayce/Reilly School of Massage,VA,0.0,24.0,3,2,,,,,,,,,,,,
Paul Mitchell the School-Sherman Oaks,CA,0.0,276.0,3,3,,,,,,,,,,,,
Strayer University-North Carolina,NC,0.0,4604.0,1,3,13380.0,13380.0,,,,,,41600.0,36500.0,32000.0,37600.0,50200.0
Nuvani Institute-South Campus,TX,,,3,3,,,,,,,,,,,,
Rasmussen College-Bloomington,MN,,,1,3,10935.0,,,,,,,28400.0,27300.0,18200.0,26600.0,36500.0
Strayer University-Virginia Beach Campus,VA,,,1,3,13380.0,,,,,,,41600.0,36500.0,32000.0,37600.0,50200.0
Rasmussen College-Brooklyn Park,MN,,,1,3,10935.0,,,,,,,28400.0,27300.0,18200.0,26600.0,36500.0
Strayer University-Allentown Campus,PA,,,1,3,13380.0,,,,,,,41600.0,36500.0,32000.0,37600.0,50200.0
Strayer University-Roswell Campus,GA,,,1,3,13380.0,,,,,,,41600.0,36500.0,32000.0,37600.0,50200.0
Rasmussen College-Mokena/Tinley Park,IL,,,1,3,10935.0,,,,,,,28400.0,27300.0,18200.0,26600.0,36500.0
Strayer University-Savannah Campus,GA,,,1,3,13380.0,,,,,,,41600.0,36500.0,32000.0,37600.0,50200.0
Strayer University-North Raleigh Campus,NC,,,1,3,13380.0,,,,,,,41600.0,36500.0,32000.0,37600.0,50200.0
Strayer University-Center City Campus,PA,,,1,3,13380.0,,,,,,,41600.0,36500.0,32000.0,37600.0,50200.0
Strayer University-Piscataway,NJ,,,1,3,13380.0,,,,,,,41600.0,36500.0,32000.0,37600.0,50200.0
Strayer University-Northwest Houston,TX,,,1,3,13380.0,,,,,,,41600.0,36500.0,32000.0,37600.0,50200.0
Columbia College of Nursing,WI,0.0,116.0,1,2,,,,,,,,,,,,
Healing Arts Institute,CO,0.0,48.0,3,3,,,,,,,,,,,,
ATA College - Cincinnati,OH,0.0,277.0,2,3,13295.0,13295.0,,,,,,30000.0,28700.0,19600.0,29600.0,31900.0
Byzantine Catholic Seminary of Saints Cyril and Methodius,PA,0.0,,1,2,,,,,,,,,,,,
Midwestern Career College,IL,0.0,537.0,2,3,,,,,,,,,,,,
Angeles College,CA,0.0,263.0,1,3,,,,,,,,,,,,
New York Medical Career Training Center,NY,0.0,349.0,2,3,,,,,,,,,,,,
Institute of Culinary Education,NY,0.0,528.0,3,3,,,,,,,,,,,,
Carrington College-Reno,NV,0.0,401.0,2,3,,,,,,,,25700.0,23500.0,18400.0,25000.0,32200.0
Summit Salon Academy-Gainesville,FL,0.0,68.0,3,3,,,,,,,,,,,,
Professional Career Training Institute,TX,0.0,88.0,3,3,,,,,,,,,,,,
Urban 113 School of Cosmetology,ID,0.0,22.0,2,3,,,,,,,,,,,,
Toni & Guy Hairdressing Academy-Albuquerque,NM,0.0,150.0,3,3,,,,,,,,,,,,
Beyond 21st Century Beauty Academy,CA,0.0,59.0,3,3,,,,,,,,,,,,
DuVall's School of Cosmetology,TX,0.0,56.0,3,3,,,,,,,,,,,,
Avenue Five Institute,TX,0.0,297.0,3,3,,,,,,,,,,,,
Empire Beauty School-S Memphis,TN,0.0,62.0,3,3,,,,,,,,20600.0,18000.0,14700.0,,
Empire Beauty School-Charlotte,NC,0.0,86.0,3,3,,,,,,,,17100.0,16500.0,11100.0,,
European Massage Therapy School-Las Vegas,NV,0.0,99.0,3,3,,,,,,,,21900.0,18600.0,16700.0,,
Northwest School of Wooden Boat Building,WA,0.0,38.0,2,2,14450.0,14450.0,,,,,,,,,,
Empire Beauty School-E Memphis,TN,0.0,99.0,3,3,,,,,,,,16200.0,13500.0,12900.0,,
Empire Beauty School-Winston-Salem,NC,0.0,75.0,3,3,,,,,,,,20700.0,16700.0,24100.0,,
Empire Beauty School-Springfield,PA,0.0,127.0,3,3,,,,,,,,19400.0,16900.0,14100.0,,
West Coast University-Orange County,CA,0.0,2514.0,1,3,34835.0,34835.0,,,,,,82200.0,83200.0,32300.0,80400.0,90400.0
The Art Institute of Virginia Beach,VA,0.0,307.0,1,3,17496.0,17496.0,,,,,,27100.0,23500.0,20900.0,27400.0,26900.0
Touro University California,CA,0.0,,1,2,,,,,,,,,,,,
Ross Medical Education Center-Davison,MI,0.0,98.0,3,3,,,,,,,,20900.0,21800.0,12000.0,,
Ross Medical Education Center-Granger,IN,0.0,132.0,2,3,,,,,,,,19300.0,18000.0,12300.0,,
ABC Beauty Academy,TX,0.0,33.0,3,3,,,,,,,,,,,,
South University-Richmond,VA,0.0,379.0,1,3,17014.0,17014.0,,,,,,37100.0,31300.0,28200.0,35000.0,44100.0
Summit Salon Academy,WA,0.0,121.0,2,3,,,,,,,,,,,,
Future-Tech Institute,FL,0.0,72.0,2,3,10230.0,10230.0,,,,,,,,,,
New Saint Andrews College,ID,0.0,148.0,1,2,12800.0,12800.0,,,,,,,,,,
Grantham University,KS,1.0,6627.0,1,3,6540.0,6540.0,,,,,,,,,,
American College of Education,IN,1.0,43.0,1,3,,,,,,,,,,,,
Aveda Fredric's Institute-Indianapolis,IN,0.0,211.0,3,3,,,,,,,,,,,,
Paul Mitchell the School-Temecula,CA,0.0,360.0,3,3,,,,,,,,,,,,
Onondaga School of Therapeutic Massage-Syracuse,NY,0.0,60.0,3,3,,,,,,,,,,,,
My Le's Beauty College,LA,0.0,44.0,3,3,,,,,,,,,,,,
Florida School of Traditional Midwifery,FL,0.0,53.0,2,2,,,,,,,,,,,,
Four County Career Center,OH,0.0,157.0,3,1,,,,,,,,,,,,
L'esprit Academy,MI,0.0,139.0,3,3,,,,,,,,,,,,
American Academy of Cosmetology,FL,0.0,90.0,3,3,,,,,,,,,,,,
Summit Salon Academy-Perrysburg,OH,0.0,56.0,2,3,,,,,,,,,,,,
Avalon School of Cosmetology,MN,0.0,25.0,2,3,,,,,,,,,,,,
Somerset County Technology Center,PA,0.0,62.0,3,1,,,,,,,,,,,,
Summit Salon Academy,FL,0.0,167.0,3,3,,,,,,,,,,,,
Transformed Barber and Cosmetology Academy,MO,0.0,42.0,3,3,,,,,,,,,,,,
Academy for Careers and Technology,SC,0.0,41.0,3,1,,,,,,,,,,,,
Profile Institute of Barber-Styling,GA,0.0,16.0,3,3,,,,,,,,,,,,
Montana Academy of Salons,MT,0.0,91.0,2,3,,,,,,,,,,,,
Horizon University,IN,0.0,23.0,1,2,9300.0,9300.0,,,,,,,,,,
Strayer University-Texas,TX,0.0,2084.0,1,3,13380.0,13380.0,,,,,,41600.0,36500.0,32000.0,37600.0,50200.0
Dorsey School of Business-Waterford Pontiac,MI,0.0,104.0,3,3,20772.0,20772.0,,,,,,19800.0,18400.0,13000.0,19600.0,21500.0
Bethel College,VA,0.0,31.0,1,2,8420.0,8420.0,,,,,,,,,,
Empire Beauty School-Paramus,NJ,0.0,74.0,3,3,,,,,,,,19200.0,14200.0,14500.0,,
West Coast University-Ontario,CA,0.0,1671.0,1,3,34835.0,34835.0,,,,,,82200.0,83200.0,32300.0,80400.0,90400.0
Paul Mitchell the School-Phoenix,AZ,0.0,122.0,3,3,,,,,,,,,,,,
Strayer University-Georgia,GA,0.0,6428.0,1,3,13380.0,13380.0,,,,,,41600.0,36500.0,32000.0,37600.0,50200.0
Paul Mitchell the School-Modesto,CA,0.0,230.0,3,3,,,,,,,,,,,,
Cosmo Beauty Academy,CA,0.0,96.0,3,3,,,,,,,,,,,,
Gurnick Academy of Medical Arts,CA,0.0,1687.0,1,3,,,,,,,,,,,,
Sage School of Massage & Esthetics,OR,0.0,28.0,3,3,,,,,,,,,,,,
Pima Medical Institute-Houston,TX,0.0,784.0,2,3,,,,,,,,27000.0,25000.0,18700.0,25100.0,36700.0
Paul Mitchell the School-Colorado Springs,CO,0.0,199.0,3,3,,,,,,,,,,,,
Concorde Career Institute-Orlando,FL,0.0,462.0,2,3,,,,,,,,19600.0,17200.0,12700.0,19200.0,24800.0
Fred K Marchman Technical College,FL,0.0,215.0,2,1,,,,,,,,,,,,
Concorde Career College-San Antonio,TX,0.0,676.0,2,3,,,,,,,,21800.0,20000.0,15100.0,21200.0,30200.0
Fortis College-Columbia,SC,0.0,382.0,2,3,16285.0,16285.0,,,,,,24200.0,23300.0,16200.0,23500.0,28700.0
Nova Academy of Cosmetology,MN,0.0,111.0,3,3,,,,,,,,,,,,
Johnson & Wales University-Online,RI,1.0,886.0,1,2,13365.0,13365.0,,,,,,30700.0,29100.0,19200.0,29200.0,32300.0
Brittany Beauty Academy,NY,0.0,159.0,3,3,,,,,,,,19500.0,15500.0,14700.0,,
Milan Institute of Cosmetology-La Quinta,CA,0.0,130.0,3,3,,,,,,,,16600.0,14700.0,12200.0,,
Rasmussen College-Tampa/Brandon,FL,,,1,3,10935.0,,,,,,,28400.0,27300.0,18200.0,26600.0,36500.0
American School of Nursing and Medical Careers,NH,0.0,117.0,3,3,,,,,,,,22800.0,22200.0,14900.0,22500.0,26200.0
Cortiva Institute-New Jersey,NJ,0.0,28.0,3,3,13044.0,13044.0,,,,,,23800.0,19400.0,19500.0,,
Keiser University-Ft Myers,FL,,,1,2,20008.0,,,,,,,30500.0,27100.0,21300.0,28700.0,35000.0
Strayer University-Alexandria Campus,VA,,,1,3,13380.0,,,,,,,41600.0,36500.0,32000.0,37600.0,50200.0
Strayer University-Loudoun Campus,VA,,,1,3,13380.0,,,,,,,41600.0,36500.0,32000.0,37600.0,50200.0
Strayer University-Henrico Campus,VA,,,1,3,13380.0,,,,,,,41600.0,36500.0,32000.0,37600.0,50200.0
