School,State,Online only?,School size (students),2yr/4yr,Pubic or Private,Tuition (in state),Tuition (out of state),Earnings after 10 years - mean,Earnings after 10 years - median,Earnings after 10 years - std,Earnings after 10 years - mean - female,Earnings after 10 years - mean - male,Earnings after 6 years - mean,Earnings after 6 years - median,Earnings after 6 years - std,Earnings after 6 years - mean - female,Earnings after 6 years - mean - male
Automeca Technical College-Caguas,PR,0.0,135.0,3,3,7501.0,7501.0,23200.0,19500.0,20200.0,,,17800.0,15800.0,16400.0,,
Arkansas State University-Mountain Home,AR,0.0,987.0,2,1,2856.0,4464.0,37400.0,34300.0,25600.0,33800.0,43000.0,30400.0,25900.0,31600.0,27000.0,35500.0
Colleen O'Haras Beauty Academy,CA,0.0,50.0,3,3,,,21000.0,15400.0,20900.0,,,18100.0,15200.0,14600.0,,
Centura College-Richmond Main,VA,0.0,33.0,2,3,16337.0,16337.0,25900.0,27200.0,16500.0,,,22700.0,21600.0,15100.0,22400.0,23800.0
Living Arts College,NC,0.0,243.0,1,3,16600.0,16600.0,47000.0,42500.0,33800.0,40300.0,49400.0,22600.0,20100.0,19500.0,,
Nova College de Puerto Rico,PR,0.0,245.0,2,3,,,,,,,,15200.0,13100.0,14400.0,14400.0,17300.0
Eastern International College-Jersey City,NJ,0.0,295.0,1,3,21225.0,21225.0,36500.0,31300.0,28600.0,31000.0,44400.0,21800.0,19400.0,15300.0,21500.0,23400.0
Miami Valley Career Technology Center,OH,0.0,214.0,3,1,,,35100.0,34900.0,19800.0,,,33100.0,31900.0,18600.0,,
Moler Barber College,ND,0.0,9.0,3,3,,,,,,,,,,,,
Cameo College of Essential Beauty,UT,0.0,130.0,3,3,,,,,,,,20300.0,19200.0,14700.0,,
MyComputerCareer.com,IN,0.0,257.0,3,3,,,,,,,,,,,,
CDE Career Institute,PA,0.0,73.0,3,3,,,,,,,,,,,,
Columbus Technical Campus,KS,,,3,1,2304.0,3872.0,,,,,,27100.0,22300.0,45500.0,21600.0,30400.0
New Age Training,NY,0.0,178.0,3,3,,,,,,,,,,,,
Valley College of Medical Careers,CA,0.0,103.0,2,3,,,,,,,,,,,,
American Institute of Medical Technology,OK,0.0,85.0,2,3,,,,,,,,,,,,
Delaware Learning Institute of Cosmetology,DE,0.0,49.0,3,3,,,,,,,,,,,,
Champion Beauty College,TX,0.0,56.0,3,3,,,,,,,,,,,,
Huntsville Bible College,AL,0.0,105.0,1,2,4560.0,4560.0,,,,,,,,,,
South University-Tampa,FL,0.0,541.0,1,3,17014.0,17014.0,36500.0,31300.0,28600.0,33000.0,48900.0,37100.0,31300.0,28200.0,35000.0,44100.0
Louisiana Culinary Institute,LA,0.0,125.0,2,3,14575.0,14575.0,,,,,,,,,,
Bais Medrash Toras Chesed,NJ,0.0,106.0,1,2,6400.0,6400.0,,,,,,,,,,
Paul Mitchell the School-San Diego,CA,0.0,254.0,2,3,,,20400.0,17400.0,18200.0,,,22200.0,18700.0,17900.0,21800.0,25900.0
Empire Beauty School-North Hills,PA,0.0,79.0,3,3,,,17000.0,15500.0,12500.0,,,18100.0,16800.0,13400.0,,
Lexington Healing Arts Academy,KY,0.0,150.0,3,3,,,,,,,,,,,,
Brown Aveda Institute-Strongsville,OH,0.0,128.0,2,3,,,,,,,,21600.0,20500.0,15500.0,,
Fortis College-Columbus,OH,0.0,896.0,2,3,15200.0,15200.0,28800.0,29900.0,17800.0,,,24200.0,23300.0,16200.0,23500.0,28700.0
Carrington College-Citrus Heights,CA,0.0,248.0,2,3,,,33300.0,32800.0,21700.0,32800.0,41600.0,27600.0,24100.0,22000.0,27100.0,31100.0
Alliant International University-Fresno,CA,,,1,3,,,55400.0,56100.0,33100.0,55100.0,55900.0,56100.0,52900.0,31900.0,54900.0,60200.0
Alliant International University-Irvine,CA,,,1,3,,,55400.0,56100.0,33100.0,55100.0,55900.0,56100.0,52900.0,31900.0,54900.0,60200.0
Blue Cliff College-Alexandria,LA,0.0,459.0,2,3,,,,,,,,20100.0,16800.0,15600.0,,
Beauty Schools of America-North Miami Beach,FL,0.0,126.0,3,3,,,18500.0,15500.0,13800.0,,,16200.0,13400.0,11900.0,16000.0,18100.0
