,School,sat_scores.25th_percentile.critical_reading,sat_scores.midpoint.critical_reading,sat_scores.75th_percentile.critical_reading,sat_scores.25th_percentile.math,sat_scores.midpoint.math,sat_scores.75th_percentile.math
282,Norwich University,,,,,,
283,SIT Graduate Institute,,,,,,
284,Tyler Junior College,,,,,,
285,Sterling College,,,,,,
286,UCAS University of Cosemtology Arts & Sciences-McAllen,,,,,,
287,Barstow Community College,,,,,,
288,Allan Hancock College,,,,,,
289,University of Arkansas-Pulaski Technical College,,,,,,
290,American Beauty College,,,,,,
291,Cabrillo College,,,,,,
292,California Baptist University,510.0,560.0,610.0,480.0,535.0,590.0
293,Clovis Adult Education,,,,,,
294,California Institute of Technology,740.0,760.0,780.0,790.0,795.0,800.0
295,CET-San Jose,,,,,,
296,Cogswell College,,,,,,
297,CET-Colton,,,,,,
298,University of California-Santa Cruz,590.0,635.0,680.0,600.0,660.0,720.0
299,Crafton Hills College,,,,,,
300,San Diego Christian College,493.0,537.0,580.0,480.0,520.0,560.0
301,Church Divinity School of the Pacific,,,,,,
302,Canada College,,,,,,
303,College of the Canyons,,,,,,
304,Diablo Valley College,,,,,,
305,Life Pacific University,460.0,507.0,553.0,440.0,492.0,543.0
306,Moorpark College,,,,,,
307,The Master's University and Seminary,500.0,575.0,650.0,490.0,545.0,600.0
308,Los Angeles Mission College,,,,,,
309,Palomar College,,,,,,
310,Dongguk University-Los Angeles,,,,,,
311,Pasadena City College,,,,,,
312,Pitzer College,,,,,,
313,Santa Barbara Business College-Bakersfield,,,,,,
314,Oxnard College,,,,,,
315,Colorado Mountain College,,,,,,
316,University of New Haven,520.0,570.0,620.0,510.0,555.0,600.0
317,Lincoln Technical Institute-East Windsor,,,,,,
318,Morgan Community College,,,,,,
319,Empire Beauty School-Thornton,,,,,,
320,Western Colorado University,510.0,550.0,590.0,490.0,535.0,580.0
321,Nazarene Bible College,,,,,,
322,Capital Community College,,,,,,
323,Asnuntuck Community College,,,,,,
324,Florida Institute of Technology,570.0,615.0,660.0,580.0,630.0,680.0
325,Miami Dade College,,,,,,
326,Ringling College of Art and Design,,,,,,
327,Fort Myers Technical College,,,,,,
328,Lindsey Hopkins Technical College,,,,,,
329,Loraines Academy & Spa,,,,,,
330,Luther Rice College & Seminary,,,,,,
331,George Stone Technical College,,,,,,
332,Interactive College of Technology-Morrow,,,,,,
333,Clayton  State University,,,,,,
334,Andrew College,420.0,475.0,530.0,400.0,455.0,510.0
335,Valencia College,,,,,,
336,Saint Johns River State College,,,,,,
337,Florida Panhandle Technical College,,,,,,
338,Clark Atlanta University,490.0,530.0,570.0,460.0,500.0,540.0
339,Southeastern University,490.0,545.0,600.0,460.0,510.0,560.0
340,East Georgia State College,,,,,,
341,Withlacoochee Technical College,,,,,,
342,Georgia Southwestern State University,480.0,530.0,580.0,460.0,500.0,540.0
343,Chattahoochee Technical College,,,,,,
344,The College of Idaho,,,,,,
345,Chicago Theological Seminary,,,,,,
346,Aveda Institute-Twin Falls,,,,,,
347,City Colleges of Chicago-Kennedy-King College,,,,,,
348,Blessing Rieman College of Nursing and Health Sciences,,,,,,
349,Northwest Nazarene University,520.0,580.0,640.0,500.0,555.0,610.0
350,Concordia University-Chicago,500.0,540.0,580.0,490.0,540.0,590.0
351,Hebrew Theological College,,,,,,
352,Highland Community College,,,,,,
353,Prairie State College,,,,,,
354,The John Marshall Law School,,,,,,
355,Roosevelt University,510.0,555.0,600.0,500.0,540.0,580.0
356,Educators of Beauty College of Cosmetology-Sterling,,,,,,
357,Southern Illinois University-Edwardsville,510.0,560.0,610.0,500.0,555.0,610.0
358,University of Illinois at Springfield,500.0,555.0,610.0,490.0,549.0,608.0
359,Trinity International University-Illinois,480.0,525.0,570.0,480.0,530.0,580.0
360,University of Evansville,550.0,600.0,650.0,530.0,590.0,650.0
361,Franklin College,490.0,540.0,590.0,490.0,535.0,580.0
362,Indiana Wesleyan University-Marion,510.0,565.0,620.0,500.0,550.0,600.0
363,Indiana State University,460.0,515.0,570.0,450.0,500.0,550.0
364,Coe College,548.0,609.0,670.0,530.0,580.0,630.0
365,West Michigan College of Barbering and Beauty,,,,,,
366,Trine University,500.0,555.0,610.0,510.0,565.0,620.0
367,Vincennes University,,,,,,
368,Eastern Iowa Community College District,,,,,,
369,Grinnell College,670.0,708.0,745.0,700.0,743.0,785.0
370,International Business College-Indianapolis,,,,,,
